ulasan,makanan,minuman,pelayanan,tempat,harga
"
Menu paling rekomended yaitu mie Bangladesh nya. Enak banget banget, selalu rame pengunjung, tiap hari ga pernah sepi. Tempat nya juga luas. Harga nya juga bersahabat. Sampe2  kami nambah 1 porsi lagi karna saking enak nya. Top deh kapan2 makan disini lagi ",Positif,Netral,Netral,Positif,Positif
"
Penasaran dengan Mie Bangladeshnya, untuk rasa masih okelah, teh susunya enak, hari biasa tetap ramai, pelayanan cepat.  toilet bersih  ",Netral,Positif,Positif,Positif,Netral
"

Buat kalangan orang Medan khususnya anak muda yang hobi kulineran tidak Asing lagi kalau di sebut Agem. Menu favorit di Agem itu Indomie Banglades becek. Sering padat dan antre tempatnya tapi banyak juga yang nungguin karena seenak itu.  ",Positif,Netral,Netral,Negatif,Netral
"


Fotonya mungkin rada unappetizing, tapi ini asli enak banget mie banglades nya. Rasanya ada rasa karinya gitu. Beli lewat go food gara2 sampe hotel uda tepar, tapi tetep endeus rasanya. Harga juga terjangkau.  ",Positif,Netral,Netral,Netral,Positif
"
Kalau teringatnya cari makan malam Indomie, salah satunya warkop agem, apalagi buat ketemu kawan lama buat ngobrol Asik sih  ",Netral,Netral,Netral,Netral,Netral
"
Makanannya panas2 mantap, minuman pun enak jeruknya dll. Mantap pokoknya, rasa enak nggak perlu ditanya lagi serta harga yang bersahabat, pas di kantong  ",Positif,Positif,Netral,Netral,Positif
"
Tempatnya ramai sekali. Proses penyajian makanan cepat. Minum, kalau request banyak es, bener2 ditaruh banyak banget. Hehee. Tapi rasa indominya ngga ada yg spesial menurutku. Biasa aja. Kyk indomie bikin dirumah. Kmrin, aq harus nambahin kecap asin dan saos utk sempurnain rasanya.  ",Netral,Positif,Positif,Positif,Netral
"Tempat nongkrong yang selalu rame dari sore sampai malam, indomie Bangladeshnya recommended, yang datang dengan sepeda motor sendiri, sedikit susah dapat tempat parkir ",Positif,Netral,Netral,Positif,Netral
"
Tempat makan terlegend se-kota Medan, menu wajib Bangladesh. Harga masih terjangkau dan suasana rame. Pelayanan masih kurang, mungkin karena ramai tapi soal rasa jangan diragukan  ",Positif,Netral,Negatif,Netral,Positif
"
Warmindo unikkkk bumbunya bumbu aceh dan ga enek sama sekali. Es teh manisnya juga unik kaya ada rasa vanila nya gitu. Nice!  ",Positif,Positif,Netral,Netral,Netral
"
Agem Selalu Dihati.. pagi, siang, sore, malam..selalu passs  ",Netral,Netral,Netral,Netral,Netral
"
MashaAllah..enak banget ! Porsi pas ga terlalu banyak ,STS ,susu telur khas Agem enakkkkk bangeeet ! Buat yg lagi di Medan,mampir lah  ",Positif,Positif,Netral,Netral,Netral
"
Warkop di jalan H misbah multatuli blakang.. Bersih.. Nyaman. Menu nasi goreng. Sgala macam  mie.. Sangat ok lah  ",Positif,Netral,Netral,Positif,Netral
"
Tersedia berbagai jenis mie dan nasgor, tapi yang paling hits mie becek bangladesh tapi saya sendiri lebih prefer goreng kering. Kalau datang Sabtu/Minggu super ramai dan tetap full. Untuk ruko barunya ada 2 lantai ya.  ",Positif,Netral,Netral,Netral,Netral
"
Tempat yang selalu ramai pengunjung. Ada menu indomie, nasi goreng dll. Paling best seller itu Mie Bangladesh  ",Positif,Netral,Netral,Positif,Netral
"
Mienya enak, ada banyak menu mie lainnya, ada jg gorengan sm kerupuknya. Lengkaplah.  ",Positif,Netral,Netral,Netral,Netral
"
Juara banget mie bangladesh nya ini. Paling enak sekota medaaaann. Wajib cobain. Apalagi dicampur ama risol, cabe potong, kerupuk plus sate. Maknyoosshhh  ",Positif,Netral,Netral,Netral,Netral
"
Biasa aja rasanya, modal viral doang. Indomie nya kurang asin, masak nya lama. Yang enak cuman teh tariknya  ",Negatif,Positif,Netral,Netral,Netral
"
Karena PPKM jadi meja dan kursi tersedia sedikit.... Kalau rasa oke lah bagi yg pengen indomie yg rasanya sedikit berbeda bisa datang kesini... Kalau harga sangat terjangkau  ",Positif,Netral,Netral,Netral,Positif
"
Nyoba mie bangladesh, agak kepedesan ya. Kurang cocok bagi saya yang kurang tahan pedas.  ",Negatif,Netral,Netral,Netral,Netral
"
Rame banget,, selalu ramai pengunjung untuk makan, apalagi kalau udah malam, bisa antre sampai cukup lama  ",Netral,Netral,Negatif,Negatif,Netral
"
Mie Bangladesh!!! Favorit sejak dulu. Apaagi pake telur asinnya. Mantap kaliii  ",Positif,Netral,Netral,Netral,Netral
"
Mungkin ini tempat nongkrong nya warga medan, rame banget gak ada lawan. Walaupun rame tapi makanan dateng gak pake lama banget, wajar.  ",Netral,Netral,Positif,Positif,Netral
"
Warkop yg tenar dimedan. Enak. Bisa dicoba ketika pergi kemedan. Ditemani minuman badak. Biar sor kali pokoknya  ",Positif,Positif,Netral,Netral,Netral
"
Rame banget tempat makannya, mie Bangladesh nya jg enak, cm mungkin karena banyaknya pengunjung, setelah dpt tempat duduk, kita musti manggil abang2 waitress nya, kl gak gitu, gak bakal makan wkwk. Trus, nyari parkirnya jg susye,, sampe ke area belakang2 baru dapat parkir.  ",Positif,Netral,Negatif,Negatif,Netral
"
Tempat makan Indomie yang konon terenak di Kota Medan. Ada Mie Bangladesh (kuah), Mie Pakistan (kering), Mie Srilanka, Mie Alok, Es Teh Tarik dan sebagainya. Buka 24 jam dan selalu ramai oleh pengunjung, apalagi saat malam hari.  ",Positif,Netral,Netral,Netral,Netral
"
Rasanya biasa aja. Pelayanannya cepat walaupun pengunjung rame  ",Netral,Netral,Positif,Netral,Netral
"
Agam senyum, langganan semenjak zaman SMP, dari yang jualan diatas paret, digusur pemerintah, sampai punya ruko gandeng sendiri, sukses terus Agam dan team  ",Netral,Netral,Netral,Netral,Netral
