C,Gamma,Akurasi,Precision,Recall,F1-score
10.0,0.1,0.8613333333333333,0.8617213404750738,0.8613333333333334,0.8609265277492669
100.0,0.1,0.856,0.8569155912609423,0.856,0.8560919701002133
1.0,0.1,0.8426666666666667,0.8455638077005588,0.8426666666666667,0.8398976449149216
100.0,0.001,0.84,0.8390717754991904,0.84,0.8376680940575464
0.75,0.1,0.8373333333333334,0.8410264199737884,0.8373333333333334,0.8341979884630004
0.5,0.1,0.8346666666666667,0.8371599449560708,0.8346666666666667,0.8314088524614841
0.75,1.0,0.808,0.8609399579096549,0.8079999999999999,0.7990604391461279
0.25,0.1,0.8,0.8039520155888442,0.7999999999999999,0.7942810976819352
1.0,1.0,0.8,0.8384057020420657,0.7999999999999999,0.7931469504678347
10.0,1.0,0.8,0.835530747642098,0.7999999999999999,0.7928834012047785
100.0,1.0,0.8,0.835530747642098,0.7999999999999999,0.7928834012047785
0.05,0.1,0.7893333333333333,0.7890276678047106,0.7893333333333334,0.7843447596363209
10.0,0.001,0.7866666666666666,0.7843030303030303,0.7866666666666666,0.7835129131540212
100.0,0.0001,0.7786666666666666,0.7776810345903707,0.7786666666666667,0.7760928148476617
0.5,1.0,0.776,0.8500555727183056,0.7759999999999999,0.75809928553831
0.25,1.0,0.7493333333333333,0.8377263581488933,0.7493333333333334,0.7233726243925624
1.0,10.0,0.7493333333333333,0.8448580782618839,0.7493333333333334,0.7201020245496572
100.0,10.0,0.7493333333333333,0.8448580782618839,0.7493333333333334,0.7201020245496572
10.0,10.0,0.7493333333333333,0.8448580782618839,0.7493333333333334,0.7201020245496572
0.75,10.0,0.744,0.8448972458457765,0.7440000000000001,0.7164698890267166
0.5,10.0,0.72,0.8348158656678034,0.7200000000000001,0.6805673219651714
0.25,10.0,0.6746666666666666,0.8163959041008221,0.6746666666666666,0.6221196920716529
0.05,1.0,0.6213333333333333,0.8011295753231238,0.6213333333333333,0.5731103562286789
0.75,0.001,0.576,0.6083179155103299,0.576,0.5722168163200583
10.0,0.0001,0.552,0.6398332523878906,0.552,0.5483760340007408
1.0,0.001,0.544,0.651281380753138,0.544,0.5418514868599472
0.01,0.1,0.536,0.6045791561266044,0.536,0.5175914820670313
0.05,10.0,0.5333333333333333,0.8055555555555555,0.5333333333333333,0.46372618457944287
0.01,1.0,0.5146666666666667,0.8023887079261672,0.5146666666666667,0.4492177014106839
0.01,10.0,0.5066666666666667,0.8010752688172044,0.5066666666666667,0.4358733483131208
0.5,0.001,0.4666666666666667,0.4428951946075234,0.4666666666666666,0.4229993709658076
0.25,0.001,0.4106666666666667,0.32405666945140627,0.4106666666666667,0.3130238555770471
0.01,0.001,0.39466666666666667,0.34117500887468943,0.39466666666666667,0.2926591785265918
0.05,0.001,0.39466666666666667,0.34117500887468943,0.39466666666666667,0.2926591785265918
0.01,0.0001,0.392,0.3065787062488547,0.39199999999999996,0.28393803505911125
1.0,0.0001,0.392,0.3065787062488547,0.39199999999999996,0.28393803505911125
0.5,0.0001,0.392,0.3065787062488547,0.39199999999999996,0.28393803505911125
0.25,0.0001,0.392,0.3065787062488547,0.39199999999999996,0.28393803505911125
0.05,0.0001,0.392,0.3065787062488547,0.39199999999999996,0.28393803505911125
0.75,0.0001,0.392,0.3065787062488547,0.39199999999999996,0.28393803505911125
