C,Gamma,Akurasi,Precision,Recall,F1-score
10.0,1.0,0.872093023255814,0.8798906591442295,0.8720930232558138,0.8671673128425685
100.0,1.0,0.872093023255814,0.8798906591442295,0.8720930232558138,0.8671673128425685
100.0,0.1,0.8662790697674418,0.8681439739911289,0.8662790697674417,0.8634455822460101
1.0,1.0,0.8682170542635659,0.8767944127568591,0.8682170542635658,0.8628686656600846
10.0,0.1,0.8624031007751938,0.8650482187578072,0.8624031007751937,0.8597586735370393
1.0,10.0,0.8662790697674418,0.8813744433084375,0.8662790697674417,0.8595700745348167
0.75,10.0,0.8662790697674418,0.8813744433084375,0.8662790697674417,0.8595700745348167
10.0,10.0,0.8662790697674418,0.8813744433084375,0.8662790697674417,0.8595700745348167
100.0,10.0,0.8662790697674418,0.8813744433084375,0.8662790697674417,0.8595700745348167
0.75,1.0,0.8643410852713178,0.8724311988378014,0.8643410852713177,0.8588194682146607
0.5,1.0,0.8565891472868217,0.8663108212733013,0.8565891472868218,0.8501491628614916
1.0,0.1,0.8430232558139535,0.8470966169962826,0.8430232558139535,0.8396496307807908
0.75,0.1,0.8391472868217055,0.8434306370171482,0.8391472868217055,0.8356028973233349
0.5,10.0,0.8430232558139535,0.8677927658330881,0.8430232558139535,0.8323904344347985
0.5,0.1,0.8333333333333334,0.839191022320878,0.8333333333333334,0.8293889525507172
0.25,1.0,0.8372093023255814,0.8534144378543301,0.8372093023255814,0.8276672886421214
0.25,0.1,0.8255813953488372,0.8325473315777331,0.8255813953488372,0.8213180312256617
0.25,10.0,0.8255813953488372,0.8598789454134247,0.8255813953488372,0.8109640680451792
0.05,1.0,0.8158914728682171,0.8456969523835701,0.8158914728682171,0.8007769759735494
100.0,0.001,0.8003875968992248,0.8083472784966603,0.8003875968992249,0.7989873549577569
0.05,0.1,0.7655038759689923,0.763177014757245,0.7655038759689923,0.7636212648283958
0.05,10.0,0.7751937984496124,0.8327425547308968,0.7751937984496123,0.7455043149059849
10.0,0.001,0.7248062015503876,0.7350398368598978,0.7248062015503876,0.7226718863547509
0.01,1.0,0.7306201550387597,0.8125142831025184,0.7306201550387597,0.7045677026141287
100.0,0.0001,0.6957364341085271,0.708535275111362,0.695736434108527,0.6944751292861326
0.01,0.1,0.6511627906976745,0.6508487377768297,0.6511627906976744,0.6388077858267209
0.01,10.0,0.6065891472868217,0.7793294607570092,0.6065891472868217,0.5443421219044237
0.5,0.001,0.5038759689922481,0.6048549045569899,0.5038759689922481,0.4261099675924945
0.01,0.001,0.4941860465116279,0.5679089026915114,0.4941860465116279,0.406710683306428
0.05,0.001,0.4941860465116279,0.5679089026915114,0.4941860465116279,0.406710683306428
0.25,0.001,0.4941860465116279,0.5679089026915114,0.4941860465116279,0.406710683306428
1.0,0.001,0.43992248062015504,0.5648753989173868,0.4399224806201551,0.36313943874584603
0.75,0.001,0.43410852713178294,0.5647917313702613,0.434108527131783,0.3518370452876036
10.0,0.0001,0.42054263565891475,0.5514256984845219,0.42054263565891475,0.33283903252175673
0.01,0.0001,0.32945736434108525,0.34354293441514533,0.32945736434108525,0.18904954694428378
1.0,0.0001,0.32945736434108525,0.34354293441514533,0.32945736434108525,0.18904954694428378
0.5,0.0001,0.32945736434108525,0.34354293441514533,0.32945736434108525,0.18904954694428378
0.25,0.0001,0.32945736434108525,0.34354293441514533,0.32945736434108525,0.18904954694428378
0.05,0.0001,0.32945736434108525,0.34354293441514533,0.32945736434108525,0.18904954694428378
0.75,0.0001,0.32945736434108525,0.34354293441514533,0.32945736434108525,0.18904954694428378
