C,Gamma,Akurasi,Precision,Recall,F1-score
100.0,0.001,0.8479166666666667,0.8522009943578571,0.8479166666666668,0.8470387680913997
1.0,0.1,0.8416666666666667,0.8493077055383557,0.8416666666666667,0.8411715911715912
10.0,0.1,0.8395833333333333,0.8395835775598192,0.8395833333333332,0.8395345619569428
1.0,1.0,0.8375,0.8572040263691593,0.8375,0.8359250025336982
0.75,0.1,0.8354166666666667,0.843849482778858,0.8354166666666667,0.833578001957925
10.0,1.0,0.8333333333333334,0.8470303731300253,0.8333333333333334,0.8326345681099242
100.0,1.0,0.8333333333333334,0.8470303731300253,0.8333333333333334,0.8326345681099242
100.0,0.1,0.8291666666666667,0.8291174097407158,0.8291666666666666,0.8289903425599908
0.5,0.1,0.83125,0.8419512717987453,0.8312499999999999,0.8280931349985977
0.75,1.0,0.8291666666666667,0.8515739395907481,0.8291666666666666,0.8272216649024989
0.25,0.1,0.8125,0.827652086475616,0.8125,0.808651666164267
0.5,1.0,0.8083333333333333,0.8381982085761903,0.8083333333333335,0.8055532863731564
10.0,0.001,0.7833333333333333,0.8106529766857137,0.7833333333333333,0.7831754019269095
100.0,10.0,0.7791666666666667,0.8200703432264325,0.7791666666666668,0.7757046811809051
10.0,10.0,0.7791666666666667,0.8200703432264325,0.7791666666666668,0.7757046811809051
1.0,10.0,0.7791666666666667,0.8200703432264325,0.7791666666666668,0.7757046811809051
0.75,10.0,0.7791666666666667,0.8200703432264325,0.7791666666666668,0.7757046811809051
100.0,0.0001,0.775,0.7988229816354817,0.775,0.7738650344693855
0.05,0.1,0.7375,0.7555836644465407,0.7374999999999999,0.7311749548690821
0.25,1.0,0.7229166666666667,0.7828204022601306,0.7229166666666668,0.7147230046948357
0.5,10.0,0.6958333333333333,0.7774787295761634,0.6958333333333333,0.6871928908965946
0.01,0.1,0.6333333333333333,0.6701754385964912,0.6333333333333333,0.6335359943607367
1.0,0.001,0.625,0.68754140855735,0.625,0.6161539086139375
10.0,0.0001,0.61875,0.6772729287107087,0.61875,0.6096828939869455
0.25,10.0,0.6208333333333333,0.7401857049954876,0.6208333333333335,0.604312517035207
0.75,0.001,0.6104166666666667,0.6904352806414661,0.6104166666666666,0.6022471801594104
0.05,1.0,0.53125,0.6945063914760884,0.53125,0.495455876021281
0.5,0.001,0.48541666666666666,0.6827697720046005,0.48541666666666666,0.43337873574171243
0.01,1.0,0.46041666666666664,0.661952861952862,0.46041666666666664,0.3933640979427606
0.25,0.001,0.4375,0.3762376237623763,0.4375,0.34186801298232966
0.05,10.0,0.42083333333333334,0.6001848061268795,0.42083333333333334,0.33124662752922923
1.0,0.0001,0.4270833333333333,0.3809082483781279,0.4270833333333333,0.32785829307568437
0.01,10.0,0.41875,0.5959163566563047,0.41875,0.3277264146710646
0.05,0.001,0.4270833333333333,0.39126984126984127,0.4270833333333333,0.32591431556948797
0.75,0.0001,0.42291666666666666,0.38166898183876113,0.42291666666666666,0.32292153745440944
0.5,0.0001,0.41458333333333336,0.3867114430059064,0.4145833333333333,0.3097631787316746
0.01,0.001,0.3958333333333333,0.3813872580995869,0.3958333333333333,0.2839387617691535
0.25,0.0001,0.3958333333333333,0.399857108835437,0.3958333333333333,0.28271642225130594
0.05,0.0001,0.3958333333333333,0.399857108835437,0.3958333333333333,0.28271642225130594
0.01,0.0001,0.3958333333333333,0.399857108835437,0.3958333333333333,0.28271642225130594
